순번,구분,기관명,전화번호,팩스번호,주소,홈페이지
1,공립,조치원중학교,044-863-0773,044-866-9995,세종특별자치시 조치원읍 조치원중고길 10-1,http://jochiwon.sjedums.kr
2,공립,조치원여자중학교,044-864-2072,044-866-9996,세종특별자치시 조치원읍 새내로 160,http://chogms.sjedums.kr
3,공립,연동중학교,044-864-7022,044-866-5931,세종특별자치시 연동면 내판로 10-13,http://yeondong.sjedums.kr
4,공립,연서중학교,044-867-0083,044-867-5711,세종특별자치시 연서면 연서로 115,http://yeonseo.sjedums.kr
5,공립,금호중학교,044-850-0402,044-866-5937,세종특별자치시 대평로 27,http://geumho.sjedums.kr
6,공립,전의중학교,044-863-3200,044-863-5713,세종특별자치시 전의면 운주산로 1260-6,http://jeonui.sjedums.kr
7,공립,한솔중학교,044-868-1733,044-866-1731,세종특별자치시 나리로 43,http://sjhansol.sjedums.kr
8,공립,부강중학교,044-275-4082,044-275-0408,세종특별자치시 부강면 부강로 25-7,http://bugang.sjedums.kr
9,공립,장기중학교,044-998-3146,044-998-3148,세종특별자치시 장군면 장척로 359,http://janggi.sjedums.kr
10,공립,도담중학교,044-410-0201,044-410-0208,세종특별자치시 보람로 80,http://dodam.sjedums.kr
11,공립,새롬중학교,044-998-2652,044-998-2654,세종특별자치시 어울로 41,http://saerom.sjedums.kr/
12,공립,아름중학교,044-902-1102,044-902-1050,세종특별자치시 달빛1로 167,http://areum.sjedums.kr
13,공립,어진중학교,044-410-0701,044-410-0777,세종특별자치시 다솜로 10,http://seongnam.sjedums.kr
14,공립,고운중학교,044-903-3304,044-903-3322,세종특별자치시 만남로 66,http://gowoon.sjedums.kr/
15,공립,두루중학교,044-903-3100,044-903-3123,세종특별자치시 만남로 211,http://duru.sjedums.kr/
16,공립,종촌중학교,044-903-3202,044-903-3224,세종특별자치시 도움1로 126,http://jongchon.sjedums.kr/
17,공립,양지중학교,044-903-3011,044-903-3018,세종특별자치시 갈매로 512,http://yangji.sjedums.kr/
18,공립,소담중학교,044-905-0206,044-905-0220,세종특별자치시 남세종로 340,http://sodam.sjedums.kr/
19,공립,글벗중학교,044-999-6902,044-999-6908,세종특별자치시 소담4로 33,http://geulbeot.sjedums.kr
20,공립,보람중학교,044-999-6411,044-999-6499,세종특별자치시 남세종로 423,http://boram.sjedums.kr
21,공립,새뜸중학교,044-999-5911,044-999-5910,세종특별자치시 새롬중앙로 62-12,http://saetteum.sjedums.kr
22,공립,새움중학교,044-999-6503,044-999-6510,세종특별자치시 다정서로 12,http://saeum.sjedums.kr
23,공립,다정중학교,044-902-1901,044-902-1809,세종특별자치시 다정서로 52,http://dajeong.sjedums.kr/
24,공립,반곡중학교,044-410-3610,044-410-3609,세종특별자치시 시청대로 480,http://bangok.sjedums.kr/
