순번,구분,기관명,전화번호,팩스번호,주소,홈페이지
1,공립,세종고등학교,044-320-6640,044-320-6709,세종특별자치시 조치원읍 조치원중고길 10,http://sejong.sjeduhs.kr
2,공립,세종여자고등학교,044-862-1083,044-865-1314,세종특별자치시 조치원읍 봉산로 16,http://sjghs.sjeduhs.kr
3,공립,한솔고등학교,044-410-4111,044-410-4107,세종특별자치시 누리로 34,http://sjhansol.sjeduhs.kr
4,공립,세종하이텍고등학교,044-275-4091,044-275-6473,세종특별자치시 부강면 문곡달미길 6,http://sejonghi-tech.sjeduhs.kr
5,공립,세종국제고등학교,044-410-0511,044-410-0510,세종특별자치시 달빛1로 251,http://www.sjgl.hs.kr
6,공립,도담고등학교,044-410-0346,044-410-0399,세종특별자치시 보듬4로 41,http://dodam.sjeduhs.kr/
7,공립,아름고등학교,044-868-6403,044-868-9275,세종특별자치시 달빛1로 151,http://areum.sjeduhs.kr/
8,공립,고운고등학교,044-903-2310,044-903-2309,세종특별자치시 마음안로 93,http://gowoon.sjeduhs.kr
9,공립,두루고등학교,044-903-2200,044-903-2206,세종특별자치시 마음안1로 53,http://duru.sjeduhs.kr
10,공립,세종과학예술영재학교,044-903-1100,044-903-1016,세종특별자치시 달빛1로 265,http://sasa.sjeduhs.kr
11,공립,종촌고등학교,044-903-2100,044-903-2198,세종특별자치시 달빛1로 60,http://jongchon.sjeduhs.kr
12,공립,양지고등학교,044-903-2009,044-903-2020,세종특별자치시 갈매로 518,http://yangji.sjeduhs.kr
13,공립,보람고등학교,044-999-7107,044-999-7129,세종특별자치시 한누리대로 2176,http://boram.sjeduhs.kr
14,공립,소담고등학교,044-902-2211,044-902-2210,세종특별자치시 남세종로 326,http://sodam.sjeduhs.kr
15,공립,새롬고등학교,044-999-6319,044-999-6310,세종특별자치시 새롬서로 68,http://saerom.sjeduhs.kr
16,공립,세종예술고등학교,044-902-3113,044-902-3019,세종특별자치시 중앙공원서로 60 ,http://sjarts.sjeduhs.kr
17,공립,다정고등학교,044-410-3411,044-410-3410,세종특별자치시 다정남로 15,http://dajeong.sjeduhs.kr
18,사립,성남고등학교,044-860-3710,044-860-3799,세종특별자치시 다솜로 22,http://www.sungnamgo.org
