"","X","전용면적","size"
"1",0,23.74,"소형"
"2",1,23.74,"소형"
"3",2,34.15,"소형"
"4",3,23.74,"소형"
"5",4,23.74,"소형"
"6",5,22.42,"소형"
"7",6,29.47,"소형"
"8",7,23.74,"소형"
"9",8,23.24,"소형"
"10",9,21.92,"소형"
"11",10,38.53,"소형"
"12",11,29.47,"소형"
"13",12,21.92,"소형"
"14",13,22.42,"소형"
"15",14,22.42,"소형"
"16",15,23.74,"소형"
"17",16,44.84,"중형"
"18",17,22.42,"소형"
"19",18,23.74,"소형"
"20",19,23.74,"소형"
"21",20,24.5,"소형"
"22",21,23.24,"소형"
"23",22,24.22,"소형"
"24",23,30.48,"소형"
"25",24,24.01,"소형"
"26",25,22.09,"소형"
"27",26,21.22,"소형"
"28",27,26.75,"소형"
"29",28,59.2,"중형"
"30",29,22.42,"소형"
"31",30,27.43,"소형"
"32",31,23.24,"소형"
"33",32,23.74,"소형"
"34",33,24.22,"소형"
"35",34,23.74,"소형"
"36",35,23.24,"소형"
"37",36,21.92,"소형"
"38",37,21.92,"소형"
"39",38,24.01,"소형"
"40",39,22.42,"소형"
"41",40,24.01,"소형"
"42",41,22.42,"소형"
"43",42,29.47,"소형"
"44",43,27.43,"소형"
"45",44,23.24,"소형"
"46",45,22.42,"소형"
"47",46,40.97,"중형"
"48",47,27.43,"소형"
