"","X","傈侩搁利","size"
"1",131,21.92,"家屈"
"2",132,24.22,"家屈"
"3",133,24.03,"家屈"
"4",134,24.03,"家屈"
"5",135,83.01,"措屈"
"6",136,21.92,"家屈"
"7",137,27.43,"家屈"
"8",138,21.92,"家屈"
"9",139,23.24,"家屈"
"10",140,26.34,"家屈"
"11",141,34.15,"家屈"
"12",142,23.74,"家屈"
"13",143,21.92,"家屈"
"14",144,22.42,"家屈"
"15",145,21.92,"家屈"
"16",146,21.92,"家屈"
"17",147,23.74,"家屈"
"18",148,36.58,"家屈"
"19",149,32.19,"家屈"
"20",150,22.42,"家屈"
"21",151,23.74,"家屈"
"22",152,24.03,"家屈"
"23",153,24.32,"家屈"
"24",154,22.42,"家屈"
"25",155,23.24,"家屈"
"26",156,24.01,"家屈"
"27",157,24.01,"家屈"
"28",158,23.74,"家屈"
"29",159,27.43,"家屈"
"30",160,22.42,"家屈"
"31",161,25.39,"家屈"
"32",162,43.71,"吝屈"
"33",163,30.24,"家屈"
"34",164,22.42,"家屈"
"35",165,23.74,"家屈"
"36",166,23.74,"家屈"
"37",167,23.74,"家屈"
"38",168,22.42,"家屈"
"39",169,23.74,"家屈"
"40",170,21.92,"家屈"
"41",171,21.92,"家屈"
"42",172,29.06,"家屈"
"43",173,23.74,"家屈"
"44",174,24.03,"家屈"
"45",175,21.92,"家屈"
"46",176,24.22,"家屈"
"47",177,23.74,"家屈"
"48",178,22.42,"家屈"
"49",179,22.42,"家屈"
"50",180,21.92,"家屈"
"51",181,23.24,"家屈"
"52",182,44.84,"吝屈"
"53",183,23.74,"家屈"
"54",184,29.06,"家屈"
"55",185,28.65,"家屈"
"56",186,23.74,"家屈"
"57",187,22.42,"家屈"
"58",188,23.74,"家屈"
"59",189,23.74,"家屈"
"60",190,22.42,"家屈"
"61",191,24.01,"家屈"
"62",192,24.01,"家屈"
"63",193,24.03,"家屈"
"64",194,22.42,"家屈"
"65",195,23.74,"家屈"
"66",196,22.42,"家屈"
"67",197,56.07,"吝屈"
"68",198,27.09,"家屈"
"69",199,23.24,"家屈"
"70",200,34.15,"家屈"
"71",201,24.62,"家屈"
"72",202,28.65,"家屈"
"73",203,23.24,"家屈"
"74",204,21.92,"家屈"
"75",205,24.01,"家屈"
"76",206,22.42,"家屈"
"77",207,23.74,"家屈"
"78",208,21.92,"家屈"
"79",209,24.5,"家屈"
"80",210,23.74,"家屈"
"81",211,24.03,"家屈"
"82",212,21.92,"家屈"
"83",213,21.92,"家屈"
"84",214,21.92,"家屈"
"85",215,23.74,"家屈"
"86",216,28.65,"家屈"
"87",217,24.03,"家屈"
"88",218,23.24,"家屈"
"89",219,24.62,"家屈"
"90",220,24.03,"家屈"
"91",221,21.92,"家屈"
"92",222,21.92,"家屈"
"93",223,23.24,"家屈"
"94",224,23.24,"家屈"
"95",225,24.03,"家屈"
"96",226,21.92,"家屈"
"97",227,34.15,"家屈"
"98",228,34.15,"家屈"
"99",229,23.24,"家屈"
"100",230,21.92,"家屈"
"101",231,21.92,"家屈"
"102",232,22.42,"家屈"
"103",233,28.65,"家屈"
"104",234,23.24,"家屈"
"105",235,24.5,"家屈"
"106",236,23.74,"家屈"
"107",237,21.92,"家屈"
"108",238,28.65,"家屈"
"109",239,23.74,"家屈"
"110",240,22.42,"家屈"
"111",241,24.22,"家屈"
"112",242,24.5,"家屈"
"113",243,37.9,"家屈"
"114",244,30.48,"家屈"
"115",245,27.43,"家屈"
"116",246,44.84,"吝屈"
"117",247,39.11,"家屈"
"118",248,22.42,"家屈"
"119",249,22.42,"家屈"
"120",250,21.92,"家屈"
"121",251,22.42,"家屈"
"122",252,22.42,"家屈"
"123",253,23.74,"家屈"
"124",254,22.42,"家屈"
"125",255,31.17,"家屈"
"126",256,23.24,"家屈"
"127",257,23.24,"家屈"
"128",258,34.15,"家屈"
"129",259,34.15,"家屈"
"130",260,34.15,"家屈"
"131",261,34.15,"家屈"
"132",262,22.42,"家屈"
"133",263,22.42,"家屈"
"134",264,30.24,"家屈"
"135",265,23.74,"家屈"
"136",266,24.5,"家屈"
"137",267,28.65,"家屈"
"138",268,36.58,"家屈"
"139",269,21.92,"家屈"
"140",270,23.74,"家屈"
"141",271,22.42,"家屈"
"142",272,37.9,"家屈"
"143",273,23.74,"家屈"
"144",274,23.74,"家屈"
"145",275,23.24,"家屈"
"146",276,23.74,"家屈"
"147",277,39.11,"家屈"
"148",278,23.24,"家屈"
"149",279,24.22,"家屈"
"150",280,22.22,"家屈"
"151",281,23.57,"家屈"
"152",282,27.09,"家屈"
"153",283,23.74,"家屈"
"154",284,23.74,"家屈"
"155",285,24.22,"家屈"
"156",286,21.92,"家屈"
"157",287,23.74,"家屈"
"158",288,23.74,"家屈"
"159",289,23.24,"家屈"
"160",290,21.92,"家屈"
"161",291,21.92,"家屈"
"162",292,21.92,"家屈"
"163",293,23.24,"家屈"
"164",294,28.72,"家屈"
"165",295,21.92,"家屈"
"166",296,23.24,"家屈"
"167",297,23.57,"家屈"
"168",298,21.92,"家屈"
"169",299,21.92,"家屈"
"170",300,21.92,"家屈"
"171",301,23.74,"家屈"
"172",302,22.42,"家屈"
"173",303,26.34,"家屈"
"174",304,23.74,"家屈"
"175",305,22.42,"家屈"
"176",306,22.42,"家屈"
"177",307,23.74,"家屈"
"178",308,24.32,"家屈"
"179",309,23.57,"家屈"
"180",310,21.92,"家屈"
"181",311,24.12,"家屈"
"182",312,23.24,"家屈"
"183",313,44.84,"吝屈"
"184",314,23.74,"家屈"
"185",315,43.71,"吝屈"
"186",316,22.42,"家屈"
"187",317,23.74,"家屈"
"188",318,22.42,"家屈"
"189",319,23.24,"家屈"
"190",320,21.92,"家屈"
"191",321,23.74,"家屈"
"192",322,22.42,"家屈"
"193",323,23.74,"家屈"
"194",324,23.24,"家屈"
"195",325,24.22,"家屈"
"196",326,24.01,"家屈"
"197",327,23.24,"家屈"
"198",328,23.24,"家屈"
"199",329,23.74,"家屈"
"200",330,23.74,"家屈"
"201",331,23.74,"家屈"
"202",332,23.24,"家屈"
"203",333,23.24,"家屈"
"204",334,22.42,"家屈"
"205",335,34.15,"家屈"
"206",336,23.24,"家屈"
"207",337,26.18,"家屈"
"208",338,27.43,"家屈"
"209",339,23.24,"家屈"
"210",340,26.18,"家屈"
"211",341,24.22,"家屈"
"212",342,26.18,"家屈"
"213",343,30.48,"家屈"
"214",344,44.84,"吝屈"
