"","X","연면적","size"
"1",0,67.32,"중형"
"2",1,581.25,"대형"
"3",2,63.89,"중형"
"4",3,95.76,"대형"
"5",4,375.36,"대형"
"6",5,493.21,"대형"
"7",6,99.96,"대형"
"8",7,307.24,"대형"
"9",8,56.2,"소형"
"10",9,659.57,"대형"
"11",10,45.99,"소형"
"12",11,164.39,"대형"
"13",12,39.18,"초소형"
"14",13,100,"대형"
"15",14,77.95,"중형"
"16",15,433.84,"대형"
"17",16,151.96,"대형"
"18",17,38.99,"초소형"
"19",18,59.5,"소형"
"20",19,359.56,"대형"
"21",20,327.78,"대형"
"22",21,96.32,"대형"
"23",22,144.81,"대형"
"24",23,192.46,"대형"
"25",24,147.57,"대형"
"26",25,87,"대형"
"27",26,328.29,"대형"
"28",27,23.76,"초소형"
"29",28,102.06,"대형"
"30",29,326.19,"대형"
"31",30,63.14,"중형"
"32",31,329.73,"대형"
"33",32,69.42,"중형"
"34",33,81.5,"중형"
"35",34,429.42,"대형"
"36",35,95.54,"대형"
"37",36,71.55,"중형"
"38",37,104.6,"대형"
"39",38,328.94,"대형"
"40",39,366.15,"대형"
"41",40,47.6,"소형"
"42",41,135.5,"대형"
"43",42,636.82,"대형"
"44",43,481.96,"대형"
"45",44,41.31,"소형"
"46",45,83.37,"중형"
"47",46,71.1,"중형"
"48",47,65.29,"중형"
"49",48,547.5,"대형"
"50",49,114.89,"대형"
"51",50,147.31,"대형"
"52",51,354.51,"대형"
"53",52,23.04,"초소형"
"54",53,68.02,"중형"
"55",54,592,"대형"
"56",55,99.98,"대형"
"57",56,501.76,"대형"
"58",57,375.64,"대형"
"59",58,184.39,"대형"
"60",59,143.16,"대형"
"61",60,434.72,"대형"
"62",61,70.95,"중형"
"63",62,631.37,"대형"
"64",63,85.54,"대형"
"65",64,381.92,"대형"
"66",65,603.72,"대형"
"67",66,73.71,"중형"
"68",67,98.14,"대형"
"69",68,61.16,"중형"
"70",69,98.3,"대형"
"71",70,51.5,"소형"
"72",71,42.98,"소형"
"73",72,487.33,"대형"
"74",73,37.16,"초소형"
"75",74,95.92,"대형"
"76",75,153.54,"대형"
"77",76,49.5,"소형"
"78",77,113.28,"대형"
"79",78,78.3,"중형"
"80",79,53.22,"소형"
"81",80,66,"중형"
"82",81,71.5,"중형"
"83",82,65.54,"중형"
"84",83,62.81,"중형"
"85",84,118.63,"대형"
"86",85,140.32,"대형"
"87",86,171.78,"대형"
"88",87,53.52,"소형"
"89",88,82.57,"중형"
"90",89,101.34,"대형"
