,연면적(㎡)
763,85.43
764,186.93
765,80.22
766,375.64
767,89.31
768,615.85
769,154.49
770,84.13
771,570.42
772,494.15
773,130.0
774,156.85
775,53.48
776,613.92
777,142.28
778,65.9
779,90.09
780,73.7
781,330.6
782,131.79
783,29.75
784,223.14
785,131.79
786,297.9
787,123.5
788,131.05
789,92.0
790,99.18
791,85.91
792,126.63
793,184.63
794,138.65
795,91.62
796,54.36
797,132.81
798,175.75
799,175.75
800,175.75
801,127.63
802,107.46
803,67.5
804,82.47
805,82.47
806,49.25
807,198.82
808,58.59
809,46.0
810,58.77
811,70.41
812,50.49
813,47.19
814,594.22
815,594.22
816,251.98
817,230.74
818,140.97
819,37.67
820,33.0
821,35.4
822,154.31
823,30.36
824,178.18
825,101.31
826,185.92
827,185.92
828,71.5
829,389.02
830,93.99
831,99.12
832,125.06
833,71.1
834,90.0
835,61.72
836,236.88
837,51.17
838,50.0
839,70.18
840,91.63
841,174.24
842,75.36
843,119.8
844,73.72
845,69.0
846,99.09
847,97.44
848,146.85
849,84.7
850,114.03
851,76.68
852,157.05
853,68.1
854,68.43
855,154.96
856,122.76
857,48.8
858,74.5
859,243.24
860,65.01
861,144.5
862,95.87
863,68.04
864,126.0
865,110.25
866,81.88
867,92.0
868,630.0
869,63.6
870,39.67
871,73.72
872,58.86
873,151.06
874,60.44
875,179.34
876,74.16
877,135.38
878,89.82
879,109.85
880,185.76
881,182.95
882,91.54
883,36.69
884,59.6
885,33.06
886,117.3
887,339.86
888,201.06
889,146.15
890,64.0
891,74.38
892,117.05
893,360.49
894,360.49
895,252.91
896,609.08
897,146.1
898,133.96
899,99.58
900,72.4
901,257.94
902,257.94
903,82.5
904,615.38
905,615.38
906,79.43
907,160.66
908,54.0
909,200.05
910,381.62
911,160.3
912,150.73
913,63.9
914,650.39
915,51.0
916,36.36
917,494.31
918,49.47
919,176.81
920,68.76
921,112.86
922,69.6
923,69.9
924,69.9
925,435.0
926,139.81
927,32.4
928,83.7
929,72.97
930,90.61
931,87.15
932,61.82
933,83.34
934,61.16
935,189.25
936,49.59
937,250.65
938,473.31
939,83.32
940,149.28
941,83.34
942,284.0
943,98.96
944,132.97
945,84.46
946,156.05
947,109.37
948,109.37
949,130.37
950,73.49
951,64.87
952,185.01
953,97.45
954,97.45
955,67.48
956,64.61
957,76.72
958,63.27
959,99.16
960,99.16
961,93.82
962,152.88
963,70.44
964,104.45
965,27.0
966,77.36
967,93.24
968,59.4
969,72.3
970,137.27
971,126.28
972,152.84
973,152.94
974,152.94
975,88.5
976,50.6
977,59.5
978,59.5
979,123.96
980,124.14
981,68.64
982,82.64
983,61.71
984,343.16
985,82.65
986,481.96
987,88.08
988,62.7
989,37.85
990,52.6
991,64.87
992,73.2
993,167.82
994,167.82
995,99.87
996,99.87
997,359.4
998,88.7
999,54.51
1000,22.5
1001,84.7
1002,62.62
1003,57.36
1004,109.9
1005,194.52
1006,65.18
1007,65.72
1008,112.18
1009,144.76
1010,157.05
1011,147.77
1012,120.33
1013,99.43
1014,57.19
1015,98.66
1016,66.1
1017,48.93
1018,105.8
1019,376.29
1020,102.98
1021,493.86
1022,493.86
1023,493.86
1024,493.86
1025,493.86
1026,493.86
1027,221.91
1028,77.19
1029,54.51
1030,116.85
1031,71.64
1032,80.0
1033,43.05
1034,235.71
1035,76.0
1036,481.96
1037,481.96
1038,138.96
1039,201.69
1040,201.69
1041,98.73
1042,212.91
1043,67.44
1044,79.43
1045,82.71
1046,80.56
1047,171.97
1048,84.32
1049,142.96
1050,108.1
1051,378.81
1052,83.43
1053,72.2
1054,141.3
1055,66.0
1056,72.09
1057,114.37
1058,54.78
1059,69.91
1060,54.22
1061,183.13
1062,60.79
1063,246.25
1064,122.91
1065,113.9
1066,306.56
1067,123.96
1068,157.05
1069,157.05
1070,190.6
1071,533.76
1072,733.17
1073,218.18
1074,487.67
1075,83.16
1076,27.44
1077,417.65
1078,199.49
1079,135.5
1080,56.86
1081,72.62
1082,62.81
1083,131.64
1084,99.82
1085,97.86
1086,139.18
1087,138.8
1088,154.97
1089,249.97
1090,116.64
1091,145.4
1092,89.1
1093,124.14
1094,96.7
1095,99.58
1096,53.46
1097,77.82
1098,272.08
1099,113.02
1100,79.43
1101,79.43
1102,83.01
1103,90.0
1104,72.5
1105,160.31
1106,97.74
1107,79.33
1108,49.59
1109,99.27
1110,481.96
1111,187.25
1112,32.34
1113,67.5
1114,67.45
1115,113.19
1116,93.0
1117,105.78
1118,429.99
1119,53.46
1120,36.36
1121,177.84
1122,199.78
1123,189.12
1124,196.4
1125,500.25
1126,140.13
1127,104.98
1128,104.98
1129,55.32
1130,45.95
1131,66.06
1132,75.2
1133,84.24
1134,50.96
1135,76.08
1136,180.13
1137,117.79
1138,121.63
1139,191.34
1140,235.71
1141,129.96
1142,205.05
1143,120.69
