"","전용면적...","거래금액.만원.","층","건축년도","동네","동내"
"1",16.9849,"8,600",7,2016,"보람동","0"
"2",59.8652,"27,300",7,2014,"종촌동","1"
"3",84.9894,"32,000",3,2015,"고운동","2"
"4",84.98,"30,500",20,2015,"고운동","2"
"5",84.928,"31,300",6,2014,"아름동","3"
"6",17.425,"7,600",4,2014,"어진동","4"
"7",59.858,"9,400",5,2002,"연서면","5"
"8",84.7067,"19,000",11,2013,"조치원읍","6"
"9",84.9228,"13,000",8,2006,"조치원읍","6"
"10",128.9491,"22,500",8,2008,"조치원읍","6"
"11",84.6682,"19,850",4,2008,"조치원읍","6"
"12",59.83,"25,000",4,2011,"한솔동","7"
"13",59.9383,"28,900",19,2014,"종촌동","1"
"14",101.9478,"39,500",8,2014,"아름동","3"
"15",99.6514,"21,400",7,2013,"조치원읍","6"
"16",84.9228,"18,300",2,2006,"조치원읍","6"
"17",118.198,"23,900",1,2008,"조치원읍","6"
"18",130.2173,"21,000",4,2008,"조치원읍","6"
"19",101.46,"36,700",20,2012,"한솔동","7"
"20",49.29,"11,000",19,1999,"조치원읍","6"
"21",59.9383,"27,300",8,2014,"종촌동","1"
"22",59.9973,"29,300",25,2015,"도담동","8"
"23",59.9973,"30,000",12,2015,"도담동","8"
"24",99.986,"50,000",13,2015,"도담동","8"
"25",99.9834,"34,000",8,2015,"아름동","3"
"26",84.757,"31,000",1,2014,"아름동","3"
"27",41.328,"5,000",8,2001,"연동면","9"
"28",28.2616,"2,000",4,2002,"장군면","10"
"29",59.76,"9,200",3,1996,"조치원읍","6"
"30",59.76,"9,200",3,1996,"조치원읍","6"
"31",84.6641,"18,500",6,2008,"조치원읍","6"
"32",84.96,"32,700",6,2011,"한솔동","7"
"33",72.497,"24,500",2,2015,"고운동","2"
"34",35.193,"12,900",7,2014,"나성동","11"
"35",84.857,"35,700",11,2014,"도담동","8"
"36",84.857,"36,000",21,2014,"도담동","8"
"37",84.914,"35,000",16,2015,"아름동","3"
"38",84.8568,"31,000",16,2014,"아름동","3"
"39",99.6514,"19,900",3,2013,"조치원읍","6"
"40",84.6641,"18,800",8,2008,"조치원읍","6"
"41",84.6641,"16,800",1,2008,"조치원읍","6"
"42",84.994,"36,500",13,2014,"종촌동","1"
"43",84.9941,"37,000",26,2015,"종촌동","1"
"44",17.834,"9,500",9,2014,"어진동","4"
"45",83.256,"13,300",6,2003,"조치원읍","6"
"46",84.9424,"36,000",13,2014,"종촌동","1"
"47",59.9159,"25,100",7,2015,"고운동","2"
"48",99.9434,"32,250",3,2015,"고운동","2"
"49",49.77,"7,900",7,1994,"부강면","12"
"50",59.4,"4,000",1,1988,"부강면","12"
"51",74.5191,"29,000",9,2014,"아름동","3"
"52",74.5191,"29,500",18,2014,"아름동","3"
"53",110.59,"61,500",16,2013,"어진동","4"
"54",49.277,"6,200",7,2001,"연동면","9"
"55",84.98,"13,400",11,1996,"조치원읍","6"
"56",84.99,"14,500",8,1996,"조치원읍","6"
"57",84.9941,"36,500",7,2015,"종촌동","1"
"58",84.9424,"32,400",2,2014,"종촌동","1"
"59",59.9383,"26,400",2,2014,"종촌동","1"
"60",84.757,"37,000",3,2014,"도담동","8"
"61",59.82,"7,900",7,1992,"부강면","12"
"62",84.9779,"36,400",5,2016,"소담동","13"
"63",31.758,"4,200",5,2001,"연동면","9"
"64",28.2616,"1,800",4,2002,"장군면","10"
"65",28.2616,"1,800",4,2002,"장군면","10"
